headline,link,time
"ছাগল চুরির দায়ে আ.লীগ নেতা গ্রেফতার, ফ্রিজ থেকে মাংস উদ্ধার",https://www.jugantor.com/country-news/577879/ছাগল-চুরির-দায়ে-আ.লীগ-নেতা-গ্রেফতার-ফ্রিজ-থেকে-মাংস-উদ্ধার,"৮ জুলাই, ২০২২"
কুকুরের কামড়ে ১৫ জন আহত,https://www.jugantor.com/country-news/576233/কুকুরের-কামড়ে-১৫-জন-আহত,"৪ জুলাই, ২০২২"
নুরুল ইসলামের ২য় মৃত্যুবার্ষিকী উপলক্ষে দুমকিতে দোয়া মাহফিল,https://www.jugantor.com/country-news/573961/নুরুল-ইসলামের-২য়-মৃত্যুবার্ষিকী-উপলক্ষে-দুমকিতে-দোয়া-মাহফিল,"৮ জুলাই, ২০২২"
জালিয়াতির মামলায় কারাগারে আ.লীগ নেতা,https://www.jugantor.com/country-news/570527/জালিয়াতির-মামলায়-কারাগারে-আ.লীগ-নেতা,"৬ জুলাই, ২০২২"
কর্মস্থলে না এসে ক্লাস নেন প্রাইভেট নার্সিং কলেজে,https://www.jugantor.com/country-news/567756/কর্মস্থলে-না-এসে-ক্লাস-নেন-প্রাইভেট-নার্সিং-কলেজে,"৯ জুন, ২০২২"
১৫ বছর ধরে এক পরিবারকে অবরুদ্ধ করে রাখার অভিযোগ!,https://www.jugantor.com/country-news/564887/১৫-বছর-ধরে-এক-পরিবারকে-অবরুদ্ধ-করে-রাখার-অভিযোগ,"১ জুন, ২০২২"
১০ হাজার মানুষের গলার কাঁটা সাঁকোটি!,https://www.jugantor.com/country-news/561188/১০-হাজার-মানুষের-গলার-কাঁটা-সাঁকোটি,"১ জুন, ২০২২"
ব্যাগে মিলল ২ কেজি  গাঁজা,https://www.jugantor.com/country-news/561079/ব্যাগে-মিলল-২-কেজি- গাঁজা,"১ জুন, ২০২২"
ফরম পূরণে অতিরিক্ত ফি ধার্যের প্রতিবাদে বিক্ষোভ,https://www.jugantor.com/country-news/560425/ফরম-পূরণে-অতিরিক্ত-ফি-ধার্যের-প্রতিবাদে-বিক্ষোভ,"৯ জুন, ২০২২"
"গৃহবধূর ব্যাগ ছিনতাই, যুবলীগ নেতা শ্রীঘরে!",https://www.jugantor.com/country-news/560117/গৃহবধূর-ব্যাগ-ছিনতাই-যুবলীগ-নেতা-শ্রীঘরে,"৮ জুন, ২০২২"
২ লিটার পেট্রল ঢেলে স্ত্রীর শরীরে আগুন দেয় স্বামী,https://www.jugantor.com/country-news/556255/২-লিটার-পেট্রল-ঢেলে-স্ত্রীর-শরীরে-আগুন-দেয়-স্বামী,"৯ মে, ২০২২"
দুমকিতে ৩ লাখ চিংড়ি রেনুসহ আটক ৮,https://www.jugantor.com/country-news/555896/দুমকিতে-৩-লাখ-চিংড়ি-রেনুসহ-আটক-৮,"৮ মে, ২০২২"
"ডিভোর্স দেওয়ায় স্ত্রীকে পুড়িয়ে হত্যা, যুবক গ্রেফতার",https://www.jugantor.com/country-news/555623/ডিভোর্স-দেওয়ায়-স্ত্রীকে-পুড়িয়ে-হত্যা-যুবক-গ্রেফতার,"৭ মে, ২০২২"
ডিভোর্স দেওয়ায় ঘুমন্ত স্ত্রীকে পুড়িয়ে মারলেন স্বামী,https://www.jugantor.com/country-news/555535/ডিভোর্স-দেওয়ায়-ঘুমন্ত-স্ত্রীকে-পুড়িয়ে-মারলেন-স্বামী,"৭ মে, ২০২২"
ইয়াবাসহ ইউপি সদস্য আটক,https://www.jugantor.com/country-news/555304/ইয়াবাসহ-ইউপি-সদস্য-আটক,"৭ মে, ২০২২"
হাসপাতালের খাবার স্যালাইন ডাস্টবিনে,https://www.jugantor.com/country-news/554500/হাসপাতালের-খাবার-স্যালাইন-ডাস্টবিনে,"৪ মে, ২০২২"
হাতি দিয়ে চাঁদাবাজি,https://www.jugantor.com/country-news/552326/হাতি-দিয়ে-চাঁদাবাজি,"৮ মে, ২০২২"
তিন ব্যবসায়ীর গুদামে ৩ হাজার লিটার সয়াবিন তেল!,https://www.jugantor.com/country-news/549518/তিন-ব্যবসায়ীর-গুদামে-৩-হাজার-লিটার-সয়াবিন-তেল,"০ মে, ২০২২"
পানিতে ডুবে মৃত্যুর ঘটনায় হত্যা মামলা!,https://www.jugantor.com/country-news/548724/পানিতে-ডুবে-মৃত্যুর-ঘটনায়-হত্যা-মামলা,"৮ মে, ২০২২"
