,Headline,URL
0,১২ বছরের নিচে শিক্ষার্থীদের এখনই ভ্যাকসিন নয়: শিক্ষামন্ত্রী,https://www.jagonews24.com/country/news/731799
1,ঢাবিতে ভর্তির সুযোগ না পেয়ে আত্মহত্যা,https://www.jagonews24.com/country/news/731784
2,জাবিতে সেলিম আল দীনের প্রয়াণ দিবস পালন,https://www.jagonews24.com/country/news/731383
3,বেতনের দাবিতে অনন্ত জলিলের কারখানায় শ্রমিকদের বিক্ষোভ,https://www.jagonews24.com/country/news/731222
4,‘মহামারিতে দেশের প্রতি দুইজনের একজন মানসিক সমস্যায় আক্রান্ত’,https://www.jagonews24.com/campus/news/730566
5,৬০০ শীতার্তকে কম্বল দিলো বিজিবি,https://www.jagonews24.com/country/news/730250
6,ধর্ষণ মামলা করে বিপাকে কলেজছাত্রী,https://www.jagonews24.com/country/news/730183
7,শিক্ষাপ্রতিষ্ঠান বন্ধের কথা এখনই ভাবছি না: দীপু মনি,https://www.jagonews24.com/country/news/730037
8,সাভারে ইউপি নির্বাচনে ভোট জালিয়াতির অভিযোগ স্বতন্ত্র প্রার্থীর,https://www.jagonews24.com/national/news/729629
9,সাভারে জামানত হারাচ্ছেন ২৭ চেয়ারম্যান প্রার্থী,https://www.jagonews24.com/country/news/729528
10,"সিল মারতে বাধা, প্রিসাইডিং কর্মকর্তার নাক ফাটালো নৌকার সমর্থকরা",https://www.jagonews24.com/country/news/729185
11,বুথে ঢুকে এজেন্টরাই সিল মারছেন নৌকায়,https://www.jagonews24.com/country/news/729109
12,জাবির পাখি মেলা স্থগিত,https://www.jagonews24.com/campus/news/729061
13,রিপোর্টার-ক্যামেরাপারসনকে দুই ইউনিয়নে দায়িত্ব দিলো নির্বাচন অফিস,https://www.jagonews24.com/country/news/728891
14,শ্যামপুরে অবৈধ অস্ত্র-গুলিসহ গ্রেফতার ২,https://www.jagonews24.com/national/news/728776
15,জাবির যৌন নির্যাতন অভিযোগ কমিটির দায়িত্বে ঢাবির শিক্ষক,https://www.jagonews24.com/campus/news/728625
16,তুরাগে ভেসে উঠলো ৩ মণ ওজনের মৃত ডলফিন,https://www.jagonews24.com/country/news/728448
17,ছাগল খেতে এসে ধরা পড়লো মেছোবাঘ,https://www.jagonews24.com/country/news/728311
18,নৌকার প্রার্থীর বিরুদ্ধে নির্বাচনী পরিবেশ নষ্টের অভিযোগ,https://www.jagonews24.com/country/news/728258
19,সাভারে ফার্নিচার কারখানায় আগুন,https://www.jagonews24.com/country/news/728210
20,সন্ধ্যা নামতেই জাবিতে শোনা যায় শিয়ালের হুক্কাহুয়া,https://www.jagonews24.com/campus/news/728200
21,ভোটে জিতে ২৫০ ডেকচি বিরিয়ানি খাওয়ালেন চেয়ারম্যান,https://www.jagonews24.com/country/news/728195
22,দোহারে জমি নিয়ে দ্বন্দ্বের জেরে কাতারপ্রবাসীকে কুপিয়ে হত্যা,https://www.jagonews24.com/national/news/728182
23,সহকারী কমিশনার সনদ না দেওয়ায় পুলিশে চাকরি হলো না হাসানের,https://www.jagonews24.com/country/news/727997
24,মাদরাসাছাত্রকে বলাৎকার: শিক্ষকের তিন বছরের কারাদণ্ড,https://www.jagonews24.com/law-courts/news/727699
25,ঘুমের ইনজেকশন পুশ করে পোশাকশ্রমিককে ধর্ষণের অভিযোগ,https://www.jagonews24.com/country/news/727169
26,"নির্বাচনী সভায় খিচুড়ি ভোজ, ভ্রাম্যমাণ আদালতের অভিযান",https://www.jagonews24.com/country/news/726718
27,আশুলিয়ায় বাসচাপায় পোশাক শ্রমিক নিহত,https://www.jagonews24.com/country/news/726470
28,নারায়ণগঞ্জ-গাজীপুরে পৃথক দুর্ঘটনায় দুইজন নিহত,https://www.jagonews24.com/national/news/726302
29,জাবিতে নতুন মসজিদ নির্মাণের দাবিতে ছাত্র ইউনিয়নের মানববন্ধন,https://www.jagonews24.com/campus/news/726096
30,আশুলিয়ায় পোশাক কারখানায় আগুন,https://www.jagonews24.com/country/news/726090
31,সাভারে বকেয়া পাওনার দাবিতে পোশাক শ্রমিকদের বিক্ষোভ,https://www.jagonews24.com/country/news/725569
32,বর্জ্য পরিবহনে শৃঙ্খলা ফিরেছে ডিএনসিসি-ডিএসসিসিতে,https://www.jagonews24.com/special-reports/news/725512
33,বিদ্রোহীদের হাত-পা ভাঙার নির্দেশ আ’লীগ নেত্রীর,https://www.jagonews24.com/country/news/725462
34,পাখিপ্রেমীদের স্বীকৃতি দেবে জাহাঙ্গীরনগর বিশ্ববিদ্যালয়,https://www.jagonews24.com/campus/news/725457
35,ময়লার স্তূপ থেকে খণ্ডিত পা উদ্ধার,https://www.jagonews24.com/country/news/725258
36,আশুলিয়ায় ৬ আ’লীগ নেতাকে বহিষ্কারের সুপারিশ,https://www.jagonews24.com/country/news/725201
37,ধামরাইয়ে মানসিক প্রতিবন্ধী কিশোর নিখোঁজ,https://www.jagonews24.com/country/news/724998
38,স্মৃতিসৌধে শ্রদ্ধা জানাতে এসে মোবাইল হারালেন ২০ জন,https://www.jagonews24.com/country/news/724238
39,প্রস্তুত জাতীয় স্মৃতিসৌধ,https://www.jagonews24.com/country/news/723922
40,জাতীয় স্মৃতিসৌধে ভারতের রাষ্ট্রপতির শ্রদ্ধা,https://www.jagonews24.com/national/news/723834
41,ফিস্ট খেতেও বাড়তি টাকা গুনতে হচ্ছে জাবি শিক্ষার্থীদের,https://www.jagonews24.com/campus/news/723805
42,আজও অসম্পূর্ণ জাতীয় স্মৃতিসৌধ,https://www.jagonews24.com/country/news/723762
43,"ভালোবেসে বিয়ের পর যৌতুক দাবি, না পেয়ে সিগারেটের ছ্যাঁকা",https://www.jagonews24.com/country/news/723562
44,বিজিএমইএর বার্ষিক সাধারণ সভা,https://www.jagonews24.com/economy/news/722922
45,বাংলাদেশে বসবাসরত অস্ট্রেলিয়ার নাগরিকের পাশে পুনাক সভানেত্রী,https://www.jagonews24.com/national/news/722913
46,বাঙালি বাবার কাছে দুই মেয়ে: জাপানি মায়ের আপিল শুনানির তালিকায়,https://www.jagonews24.com/law-courts/news/722912
47,"দেড় বছর কাজ করে পেয়েছেন ১৩ হাজার, রান্নায় দেরি হওয়ায় মারধর",https://www.jagonews24.com/country/news/722634
48,স্বামীবাগের সেই বাড়িতে ‘রাষ্ট্রবিরোধী চক্রান্তকারী’ সন্দেহে আটক ৫,https://www.jagonews24.com/national/news/722419
49,অবহেলিতদের নিয়ে কাজ করতে ভোটের মাঠে ৩ ফুটের সালমা,https://www.jagonews24.com/country/news/722274
50,"প্রবাসীর স্ত্রীর মরদেহ উদ্ধার, পুলিশের ধারণা পরকীয়ার জের",https://www.jagonews24.com/country/news/722239
51,মনোনয়ন পেয়ে জুতা পায়ে শহীদ মিনারে মেম্বার প্রার্থীর ফটোসেশন,https://www.jagonews24.com/country/news/722073
52,চলন্ত অটোরিকশার ওপর বৈদ্যুতিক খুঁটি পড়ে প্রাণ গেলো যুবকের,https://www.jagonews24.com/country/news/721859
53,মনোনয়ন পাওয়ার দিনই আ’লীগ প্রার্থীর বিরুদ্ধে মামলা,https://www.jagonews24.com/country/news/721783
54,"ফাঁসির আসামিকে নৌকার মনোনয়ন, একঘণ্টা পর পরিবর্তন",https://www.jagonews24.com/country/news/721366
55,দেশে আপাতত লকডাউনের পরিকল্পনা নেই: স্বাস্থ্যমন্ত্রী,https://www.jagonews24.com/country/news/721189
56,এসএসসির সিলেবাস কমিয়ে ৩০ শতাংশ করার দাবিতে সড়ক অবরোধ,https://www.jagonews24.com/country/news/720616
57,"শিক্ষার্থীকে গাড়িচাপা, ঢাকা-আরিচা মহাসড়ক অবরোধ",https://www.jagonews24.com/country/news/720345
58,জাবিতে পাখিমেলা ৭ জানুয়ারি,https://www.jagonews24.com/campus/news/720145
59,পারিবারিক কলহে স্ত্রীকে শ্বাসরোধে হত্যা,https://www.jagonews24.com/country/news/719857
60,ঘুমন্ত স্বামীকে গরম তেলে ঝলসে দিলেন স্ত্রী,https://www.jagonews24.com/country/news/719580
61,জাবিতে প্রজাপতি মেলা ১০ ডিসেম্বর,https://www.jagonews24.com/campus/news/719316
62,মুগদায় সিলিন্ডার বিস্ফোরণ: স্ত্রী-সন্তানের পর মারা গেলেন স্বামীও,https://www.jagonews24.com/national/news/719093
63,দুর্নীতি-অর্থ আত্মসাতের অভিযোগে ইউপি চেয়ারম্যান বরখাস্ত,https://www.jagonews24.com/country/news/718883
64,৯ বছরেও ঘোর কাটেনি তাজরীনের শ্রমিকদের,https://www.jagonews24.com/country/news/718303
65,পরকীয়া প্রেমিককে নিয়ে স্বামীকে হত্যা,https://www.jagonews24.com/country/news/718220
66,দেশের প্রথম নারী সেঞ্চুরিয়ান জাবির শারমিন,https://www.jagonews24.com/campus/news/718216
67,সাভারে মাটি খুঁড়ে মিললো যুবকের মরদেহ,https://www.jagonews24.com/country/news/718215
68,জাবিতে উচ্চশিক্ষায় নেপাল সরকারের আগ্রহ প্রকাশ,https://www.jagonews24.com/campus/news/718184
69,"ধামরাইয়ে যুবককে বেঁধে নির্যাতন, নবনির্বাচিত চেয়ারম্যান আটক",https://www.jagonews24.com/country/news/718009
70,অটোরিকশার চাকায় ওড়না পেঁচিয়ে প্রাণ গেলো বিশ্ববিদ্যালয় ছাত্রীর,https://www.jagonews24.com/country/news/717838
71,ধানমন্ডির মীনা বাজারে অগ্নিকাণ্ড,https://www.jagonews24.com/national/news/717769
72,ঢাকায় মালদ্বীপের ভাইস প্রেসিডেন্ট,https://www.jagonews24.com/national/news/717701
73,"খালাবাড়ি দুই কিশোরী, অপহরণ মামলায় কারাগারে মুরগি ব্যবসায়ী",https://www.jagonews24.com/country/news/717394
74,সাভারে রিকশাচালককে ছুরিকাঘাতে খুন,https://www.jagonews24.com/country/news/717384
75,‘ঢাকাকে অপরিকল্পিতভাবে গড়ে তুলতে দেওয়া হবে না’,https://www.jagonews24.com/national/news/717314
76,শীতের শুরুতেই সাভারে বেড়েছে ঠান্ডাজনিত রোগ,https://www.jagonews24.com/country/news/717020
